"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"MountingHole_2.2mm_M2";8;"MountingHole_2.2mm_M2";;;
2;"U20";"TSSOP-8_3x3mm_P0.65mm";1;"PCA9508";;;
3;"C30,C40,C50,C60,C62,C20,C21,C31,C52,C70,C80,C90,C100,C110";"C_0402_1005Metric";14;"100nF";;;
4;"Q30,Q40";"SOT-23";2;"BSS138";;;
5;"R30,R40,R50,R51,R60,R61,R20,R21,R62";"R_0402_1005Metric";9;"10K";;;
6;"J30,J50,J60,J20,J110";"GROVE_TH_V";5;"Conn_01x04";;;
7;"Q50,Q60";"SOT-363_SC-70-6";2;"2N7002DW";;;
8;"JP60";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"SolderJumper_3_Open";;;
9;"J70,J80,J90,J100";"GROVE_TH_V";4;"GROVE";;;
10;"R70,R71,R80,R81,R90,R91,R100,R101";"R_0402_1005Metric";8;"220R";;;
11;"C10";"C_0603_1608Metric";1;"10uF";;;
12;"D10";"LED_0603_1608Metric";1;"RED";;;
13;"D11";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";1;"WS2812B";;;
14;"D70,D71,D80,D81,D90,D91,D100,D101";"D_SOD-123";8;"3V3";;;
15;"J1,J2,J11,J12";"PinHeader_1x15_P2.54mm_Vertical";4;"Conn_01x15";;;
16;"J10";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"Conn_01x02";;;
17;"R10,R110,R112";"R_0402_1005Metric";3;"1K";;;
18;"R11";"R_0805_2012Metric";1;"5K";;;
19;"R12,R13";"R_0402_1005Metric";2;"100K";;;
20;"R111,R113";"R_0402_1005Metric";2;"2K";;;
21;"U10";"SOT-23-5";1;"MCP3831-2";;;
22;"G***";"idStudiolab_3.8x7.1";1;"LOGO";;;
